,20200214,20200213,20200212,20200211,20200210,20200209,20200208,20200207,20200206,20200205,20200204,20200203,20200202,20200201,20200131,20200130,20200129,20200128,20200127,20200126,20200125,20200124,20200123,20200122,20200121,20200120,20200119,20200118,20200117,20200116,20200115,20200114,20200113,20200112,case
沧州市,1,3,5,5,4,0,0,5,2,1,0,1,0,0,1,6,4,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46
鸡西市,1,0,1,5,4,0,3,2,8,9,3,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
甘孜州,1,6,1,9,4,6,0,0,5,2,2,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44
长春市,1,1,0,2,1,2,5,0,4,0,10,1,4,7,3,-1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44
嘉兴市,1,0,0,2,0,2,1,2,5,3,4,4,0,1,2,0,2,3,3,0,7,-2,3,0,0,0,0,0,0,0,0,0,0,0,43
北海市,3,1,0,3,1,2,1,1,0,2,2,1,3,0,6,2,2,2,2,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,43
永州市,0,0,0,1,1,1,0,2,6,2,4,0,4,4,2,2,3,4,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,43
常州市,0,5,2,5,0,0,0,2,2,3,5,4,0,1,1,3,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,43
潍坊市,1,3,0,0,1,3,5,2,6,5,3,0,3,1,1,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42
绍兴市,0,1,0,0,0,3,2,2,1,3,0,0,3,3,1,4,0,12,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,42
南通市,1,1,1,2,2,1,1,2,2,2,3,3,2,5,2,1,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40
怀化市,1,0,0,0,0,0,1,0,2,1,0,3,1,3,2,3,5,2,5,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,40
郴州市,0,1,0,5,1,0,1,2,4,1,2,1,3,5,1,2,3,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,39
宿州,0,1,2,3,2,3,0,1,2,1,1,2,7,2,2,0,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39
聊城市,0,0,0,1,3,1,6,7,5,3,2,1,0,2,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38
威海市,0,0,0,1,2,1,2,2,2,1,2,0,1,0,5,5,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,38
泰州市,0,0,1,2,3,1,0,1,1,2,3,2,4,0,5,3,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
