city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
511900,巴中市,Bazhong,0.682959118,"0.14(-0.04, 0.31)","0.14(-0.06, 0.33)","1(0, 2)"
340400,淮南市,Huainan,1.363817382,"0.23(0.08, 0.35)","0.23(0.06, 0.37)","1(0, 2)"
650100,乌鲁木齐市,Wulumuqi,1.449665051,"0.24(0.1, 0.37)","0.24(0.07, 0.39)","1(0, 2)"
610700,汉中市,Hanzhong,1.463402222,"0.24(0.1, 0.38)","0.24(0.08, 0.39)","1(0, 2)"
210200,大连市,Dalian,1.089448784,"0.18(0.04, 0.3)","0.18(0.02, 0.31)","1(0, 2)"
441200,肇庆市,Zhaoqing,1.257333806,"0.25(0.07, 0.46)","0.25(0.04, 0.48)","1(0, 2)"
441400,梅州市,Meizhou,1.189062999,"0.24(0.05, 0.44)","0.24(0.03, 0.46)","1(0, 2)"
530300,曲靖市,Qujing,1.189068884,"0.24(0.05, 0.44)","0.24(0.03, 0.46)","1(0, 2)"
441800,清远市,Qingyuan,1.117102481,"0.22(0.04, 0.43)","0.22(0.02, 0.44)","1(0, 2)"
140200,大同市,Datong,0.90394986,"0.18(-0.0, 0.37)","0.18(-0.02, 0.38)","1(0, 2)"
210700,锦州市,Jinzhou,0.539419009,"0.13(-0.11, 0.43)","0.13(-0.13, 0.44)","1(-1, 2)"
211400,葫芦岛市,Huludao,0.50927403,"0.13(-0.11, 0.43)","0.13(-0.14, 0.43)","1(-1, 2)"
820000,澳门,Aomen,0.638131654,"0.13(-0.05, 0.3)","0.13(-0.07, 0.31)","1(0, 2)"
532500,红河哈尼族彝族自治州,Honghe,0.533168272,"0.13(-0.11, 0.43)","0.13(-0.13, 0.44)","1(-1, 2)"
411200,三门峡市,Sanmenxia,0.89405936,"0.18(-0.01, 0.37)","0.18(-0.02, 0.38)","1(0, 2)"
530700,丽江市,Lijiang,0.600230523,"0.12(-0.06, 0.29)","0.12(-0.08, 0.3)","1(0, 2)"
211300,朝阳市,Chaoyang,0.581783427,"0.15(-0.1, 0.45)","0.15(-0.12, 0.46)","1(0, 2)"
141100,吕梁市,Lvliang,1.127678157,"0.23(0.04, 0.43)","0.23(0.02, 0.44)","1(0, 2)"
530800,普洱市,Puer,0.729491607,"0.18(-0.07, 0.51)","0.18(-0.09, 0.51)","1(0, 2)"
411000,许昌市,Xuchang,0.443087258,"0.06(-0.1, 0.15)","0.06(-0.12, 0.16)","0(-1, 1)"
460100,海口市,Haikou,0.338524372,"0.06(-0.09, 0.17)","0.06(-0.11, 0.18)","0(-1, 1)"
130400,邯郸市,Handan,-0.035146439,"-0.01(-0.17, 0.1)","-0.01(-0.18, 0.11)","0(-1, 1)"
130500,邢台市,Xingtai,0.416961737,"0.06(-0.08, 0.16)","0.06(-0.11, 0.17)","0(-1, 1)"
360800,吉安市,Jian,0.173887603,"0.02(-0.13, 0.13)","0.02(-0.15, 0.14)","0(-1, 1)"
360600,鹰潭市,Yingtan,-0.484970424,"-0.12(-0.34, 0.08)","-0.12(-0.37, 0.1)","0(-1, 0)"
371700,菏泽市,Heze,-0.34491248,"-0.05(-0.22, 0.06)","-0.05(-0.23, 0.07)","0(-2, 1)"
522700,黔南布依族苗族自治州,Qiannan,-0.326204104,"-0.11(-0.44, 0.31)","-0.11(-0.47, 0.32)","0(-1, 1)"
230900,七台河市,Qitaihe,-0.154307606,"-0.05(-0.38, 0.4)","-0.05(-0.42, 0.4)","0(-1, 1)"
