city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
370900,泰安市,Taian,0,"-0.07(-0.4, 0.37)","-0.07(-0.44, 0.37)","0(-1, 1)"
350700,南平市,Nanping,0,"-0.07(-0.4, 0.37)","-0.07(-0.44, 0.38)","0(-1, 1)"
140100,太原市,Taiyuan,0,"-0.15(-0.47, 0.26)","-0.15(-0.5, 0.27)","0(-2, 1)"
341700,池州市,Chizhou,0,"-0.07(-0.4, 0.37)","-0.07(-0.44, 0.38)","0(-1, 1)"
410900,濮阳市,Puyang,0,"-0.09(-0.42, 0.35)","-0.09(-0.45, 0.35)","0(-1, 1)"
522700,黔南布依族苗族自治州,Qiannan,0,"-0.08(-0.41, 0.35)","-0.08(-0.45, 0.36)","0(-1, 1)"
230900,七台河市,Qitaihe,0,"-0.03(-0.37, 0.42)","-0.03(-0.41, 0.43)","0(-1, 1)"
341100,滁州市,Chuzhou,0,"-0.08(-0.41, 0.35)","-0.08(-0.45, 0.36)","0(-1, 1)"
440900,茂名市,Maoming,0,"-0.05(-0.38, 0.4)","-0.05(-0.42, 0.41)","0(-1, 1)"
150200,包头市,Baotou,0,"-0.06(-0.39, 0.39)","-0.06(-0.43, 0.4)","0(-1, 1)"
211100,盘锦市,Panjin,0,"-0.04(-0.37, 0.42)","-0.04(-0.41, 0.42)","0(-1, 1)"
513400,凉山彝族自治州,Liangshan,0,"-0.05(-0.38, 0.4)","-0.05(-0.42, 0.4)","0(-1, 1)"
150600,鄂尔多斯市,Erdos,0,"-0.04(-0.38, 0.41)","-0.04(-0.42, 0.41)","0(-1, 1)"
140400,长治市,Changzhi,0,"-0.07(-0.4, 0.37)","-0.07(-0.44, 0.37)","0(-1, 1)"
610600,延安市,Yanan,0,"-0.04(-0.38, 0.41)","-0.04(-0.42, 0.42)","0(-1, 1)"
140600,朔州市,Shuozhou,0,"-0.06(-0.39, 0.39)","-0.06(-0.43, 0.39)","0(-1, 1)"
441500,汕尾市,Shanwei,0,"-0.04(-0.37, 0.42)","-0.04(-0.41, 0.42)","0(-1, 1)"
450400,梧州市,Wuzhou,0,"-0.06(-0.39, 0.38)","-0.06(-0.43, 0.39)","0(-1, 1)"
360200,景德镇市,Jingdezhen,0,"-0.09(-0.41, 0.35)","-0.09(-0.45, 0.36)","0(-1, 1)"
533100,德宏傣族景颇族自治州,Dehong,0,"-0.04(-0.37, 0.42)","-0.04(-0.41, 0.42)","0(-1, 1)"
621200,陇南市,Longnan,0,"-0.04(-0.38, 0.41)","-0.04(-0.42, 0.41)","0(-1, 1)"
210500,本溪市,Benxi,0,"-0.04(-0.37, 0.42)","-0.04(-0.41, 0.42)","0(-1, 1)"
230300,鸡西市,Jixi,-1,"-0.55(-1.06, 0.13)","-0.55(-1.12, 0.14)","-1(-2, 0)"
220100,长春市,Changchun,-1,"-0.64(-1.13, 0.01)","-0.64(-1.19, 0.02)","-1(-2, 0)"
410800,焦作市,Jiaozuo,-1,"-0.65(-1.14, -0.0)","-0.65(-1.19, 0.01)","-1(-2, 0)"
340600,淮北市,Huaibei,-1,"-0.59(-1.09, 0.07)","-0.59(-1.15, 0.08)","-1(-2, 0)"
620500,天水市,Tianshui,-1,"-0.62(-1.11, 0.04)","-0.62(-1.17, 0.04)","-1(-2, 0)"
321100,镇江市,Zhenjiang,-1,"-0.62(-1.11, 0.04)","-0.62(-1.17, 0.05)","-1(-2, 0)"
469023,澄迈县,Chengmai,-1,"-0.56(-1.06, 0.12)","-0.56(-1.12, 0.13)","-1(-2, 0)"
621100,定西市,Dingxi,-1,"-0.59(-1.08, 0.08)","-0.59(-1.14, 0.09)","-1(-2, 0)"
511400,眉山市,Meishan,-1,"-0.58(-1.08, 0.09)","-0.58(-1.14, 0.1)","-1(-2, 0)"
150800,巴彦淖尔市,Bayannur,-1,"-0.56(-1.06, 0.12)","-0.56(-1.12, 0.13)","-1(-2, 0)"
511800,雅安市,Yaan,-1,"-0.55(-1.06, 0.13)","-0.55(-1.12, 0.14)","-1(-2, 0)"
130800,承德市,Chengde,-1,"-0.57(-1.07, 0.1)","-0.57(-1.13, 0.11)","-1(-2, 0)"
150400,赤峰市,Chifeng,-1,"-0.59(-1.09, 0.07)","-0.59(-1.15, 0.08)","-1(-2, 0)"
611000,商洛市,Shangluo,-1,"-0.56(-1.07, 0.11)","-0.56(-1.13, 0.12)","-1(-2, 0)"
211200,铁岭市,Tieling,-1,"-0.56(-1.06, 0.13)","-0.56(-1.12, 0.13)","-1(-2, 0)"
150100,呼和浩特市,Huhehaote,-1,"-0.61(-1.1, 0.05)","-0.61(-1.16, 0.06)","-1(-2, 0)"
152500,锡林郭勒盟,Xilingol,-1,"-0.55(-1.06, 0.13)","-0.55(-1.12, 0.14)","-1(-2, 0)"
510800,广元市,Guangyuan,-1,"-0.57(-1.07, 0.1)","-0.57(-1.13, 0.11)","-1(-2, 0)"
220200,吉林市,Jilin,-1,"-0.58(-1.08, 0.09)","-0.58(-1.14, 0.1)","-1(-2, 0)"
222400,延边朝鲜族自治州,Yanbian,-1,"-0.56(-1.06, 0.12)","-0.56(-1.12, 0.13)","-1(-2, 0)"
640400,固原市,Guyuan,-1,"-0.57(-1.07, 0.1)","-0.57(-1.13, 0.11)","-1(-2, 0)"
